"LOCALITY.ID","LATITUDE","LONGITUDE"
"L7958157",28.2240229,83.9515644
"L7960765",27.7110674,85.3525837
"L7979664",28.205047,83.96215
"L7979671",28.20509,83.962215
"L7979675",27.595618,85.375601
"L7979678",27.587569,85.379034
"L7979681",27.671898,85.313799
"L7986329",27.8136332,85.2579683
"L7999247",27.6864222,85.5029159
"L7961083",27.5650943,84.5166886
"L8013253",27.586545,84.4824059
"L8029478",27.6693358,84.3775765
"L8036546",28.241683,83.97928
"L8067603",27.5744601,84.4929643
"L8086455",27.741655,85.338218
"L8095309",27.6692384,84.377616
"L8099141",27.5709903,84.4977709
"L8103107",27.557115,84.4990467
"L4476942",27.6479,85.2956
"L8107548",27.6693478,84.3778251
"L8133206",27.5485868,84.1385434
"L8120803",28.303119,83.829879
"L8123447",27.5743224,84.4933708
"L8128506",27.8699759,83.5652611
"L8135061",28.200675,83.9639943
"L8136388",27.6127878,85.5650131
"L8153777",27.5472167,84.501025
"L8154113",27.5744285,84.5033123
"L8169787",27.0612001,88.0168022
"L7924603",27.6159586,84.4724923
"L8182605",27.720403,85.355978
"L8190083",27.72191,85.357343
