Order,ALTALTSPECIES,IUCN name,Tree name,HWI,Sample size,Body mass (log),Range Size,Island,Migration-1,Migration-2,Migration-3,Territoriality,Diet,Habitat,Latitude,AnnualTemp,TempRange,AnnualPrecip,PrecipRange,ALTSPECIES
Galliformes,Eulipoa_wallacei,Eulipoa wallacei,Eulipoa_wallacei,33.52739634,2,2.703265578,25,1,Not a Migrant,1,resident,none,invertebrates,1,-1.51,26.01582692,8.237140385,2140.529615,180.8921154,Eulipoa_wallacei
Galliformes,Megapodius_pritchardii,Megapodius pritchardii,Megapodius_pritchardii,18.81364412,4,2.562292864,1,1,Not a Migrant,1,resident,strong,invertebrates,1,-17.43,25.434,8.716,2249.48,206.82,Megapodius_pritchardii
Galliformes,Megapodius_laperouse,Megapodius laperouse,Megapodius_laperouse,31.96790192,3,2.488550717,6,1,Not a Migrant,1,resident,strong,invertebrates,2,15.66,26.27333,8.239833,2104.777,203.27167,Megapodius_laperouse
Galliformes,Megapodius_nicobariensis,Megapodius nicobariensis,Megapodius_nicobariensis,20.12304361,4,2.922564578,2,1,Not a Migrant,1,resident,strong,invertebrates,1,7.59,27.222225,7.6333325,2376.665,234.59725,Megapodius_nicobariensis
Galliformes,Megapodius_cumingii,Megapodius cumingii,Megapodius_cumingii,26.13674046,4,3.018700499,109,0.532110092,Not a Migrant,1,resident,strong,invertebrates,2,-1.56,25.30658043,10.10416761,2061.030217,170.1772,Megapodius_cumingii
Galliformes,Megapodius_bernsteinii,Megapodius bernsteinii,Megapodius_bernsteinii,26,1,2.885683428,8,0.75,Not a Migrant,1,resident,strong,omnivore,2,-1.89,26.02646667,9.708332222,1909.103333,184.8377,Megapodius_bernsteinii
Galliformes,Megapodius_tenimberensis,Megapodius tenimberensis,Megapodius_tenimberensis,21.54150198,1,2.9424099,4,1,Not a Migrant,1,resident,strong,plants,2,-12.36,NA,NA,NA,NA,Megapodius_tenimberensis
Galliformes,Megapodius_freycinet,Megapodius freycinet,Megapodius_freycinet,24.66283654,4,2.807859613,23,0.956521739,Not a Migrant,1,resident,strong,invertebrates,2,-4.9,26.20044138,8.17211069,3207.513218,195.3688023,Megapodius_freycinet
Galliformes,Megapodius_forstenii, NA,NA,25.53585767,4,2.838219222,NA,NA,NA,1,NA,strong,NA,2,-12.36,25.9371125,8.275999167,2136.307917,182.463,NA
Galliformes,Megapodius_geelvinkianus,Megapodius geelvinkianus,Megapodius_geelvinkianus,18.55604554,2,2.807859613,4,1,Not a Migrant,1,resident,strong,invertebrates,1,NA,NA,NA,NA,NA,Megapodius_geelvinkianus
Galliformes,Megapodius_eremita,Megapodius eremita,Megapodius_eremita,27.96968446,4,2.830376923,39,1,Not a Migrant,1,resident,strong,omnivore,1,-5.78,26.04803649,8.405595,3224.636081,207.4958662,Megapodius_eremita
Galliformes,Megapodius_layardi,Megapodius layardi,Megapodius_layardi,25.27901602,4,2.885683428,12,1,Not a Migrant,1,resident,strong,invertebrates,1,-15.76,24.4547,9.494126429,2844.130714,228.50915,Megapodius_layardi
Galliformes,Megapodius_decollatus,Megapodius decollatus,Megapodius_affinis,14.52866744,4,2.823695884,31,0.129032258,Not a Migrant,1,resident,strong,invertebrates,1,-4.59,24.40734776,10.7673306,2810.636716,203.0550493,Megapodius_affinis
Galliformes,Megapodius_reinwardt,Megapodius reinwardt,Megapodius_reinwardt,22.84065888,4,2.9424099,186,0.413978495,Not a Migrant,1,resident,strong,plants,2,-12.36,25.40213311,15.13512861,1942.725159,261.7374733,Megapodius_reinwardt
Galliformes,Ortalis_vetula,Ortalis vetula,Ortalis_vetula,11.43402018,4,2.750199728,87,0.057471264,Not a Migrant,1,resident,strong,fruit,1,18.85,23.57631842,18.42749123,1448.401561,236.0142039,Ortalis_vetula
Galliformes,Ortalis_cinereiceps,Ortalis cinereiceps,Ortalis_cinereiceps,13.33004674,4,2.692846919,36,0.027777778,Not a Migrant,1,resident,strong,fruit,1,10.09,25.08228727,11.53117582,2866.217273,366.5572705,Ortalis_cinereiceps
Galliformes,Ortalis_garrula,Ortalis garrula,Ortalis_garrula,11.94353575,7,2.725911632,16,0,Not a Migrant,1,resident,strong,fruit,1,8.98,25.96333182,11.79769409,1977.36,267.4664977,Ortalis_garrula
Galliformes,Ortalis_ruficauda,Ortalis ruficauda,Ortalis_ruficauda,9.873723288,4,2.768075448,60,0.016666667,Not a Migrant,1,resident,strong,fruit,1,9.52,25.97023889,12.17785033,1300.776956,199.4151758,Ortalis_ruficauda
Galliformes,Ortalis_erythroptera,Ortalis erythroptera,Ortalis_erythroptera,12.25219658,4,2.800717078,12,0,Not a Migrant,1,resident,strong,omnivore,1,-1.46,22.439375,11.537265,1380.59635,207.5018399,Ortalis_erythroptera
Galliformes,Ortalis_wagleri,Ortalis wagleri,Ortalis_wagleri,17.85197681,4,2.921160843,19,0,Not a Migrant,1,resident,strong,fruit,1,24.84,20.71272857,25.567025,865.8728214,220.3897398,Ortalis_wagleri
