Tree.name,Species,Median_S_upper,Median_W_upper,Median_diff_upper,Median_S_median,Median_W_median,Median_diff_median,Median_S_lower,Median_W_lower,Median_diff_lower,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Hirundo_rupestris,Eurasian Crag-Martin,4405,2522.45,1882.55,3283,1640,1628,1874.5,411.5,1462.4,2530.5,0.427366629,0.495887907,0.780154708
Ficedula_strophiata,Rufous-gorgeted Flycatcher,3160.05,1782.35,1359.65,2642.5,861,1763,602,424.8,188.6,2558.05,0.430262179,0.667171239,0.313289037
Dendrocopos_nanus,Brown-capped Woodpecker,1720.3,978,751,438,438,5,290.45,272,22.1,1429.85,0.436551764,0.011415525,0.076088828
Culicicapa_ceylonensis,Gray-headed Canary-Flycatcher,2499,1400,1099,2076,602,1474,679.4,327.55,349.375,1819.6,0.43977591,0.710019268,0.514240506
Ficedula_tricolor,Slaty-blue Flycatcher,3179.15,1640,1518.975,1730.5,871.5,850,591.55,372,219,2587.6,0.477792806,0.491187518,0.370213845
Dicrurus_macrocercus,Black Drongo,1681.675,861,821.225,580,406,175.5,272,262,10,1409.675,0.488337521,0.302586207,0.036764706
Lanius_tephronotus,Gray-backed Shrike,4325.05,2173.3,2165.55,2090.5,1620.5,439,616,411,219.75,3709.05,0.500699414,0.209997608,0.356737013
Zoothera_cinerea,Orange-headed Thrush,1365,666,699,602,602,0,386,503,-123.55,979,0.512087912,0,-0.32007772
Phylloscopus_affinis,Tickell's Leaf Warbler,4510.8,2125.3,2385.1,2054,1520.5,592.5,659,421.45,240.9,3851.8,0.528753215,0.288461538,0.365553869
Luscinia_pectoralis,Himalayan Rubythroat,3975,1667,2290.2,1637,1040.5,601,759.375,397,341.325,3215.625,0.576150943,0.367135003,0.449481481
Ficedula_albicilla,Taiga Flycatcher,2649.75,861,1707.85,441,602,-116.5,312.6,307.4,-0.15,2337.15,0.644532503,-0.264172336,-0.000479846
