"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff","elev_roundS","elev_roundW","maxTemp_June_mean","minTemp_June_mean","maxTemp_June_ci","minTemp_June_ci","tempRange_June","maxTemp_Jan_mean","minTemp_Jan_mean","maxTemp_Jan_ci","minTemp_Jan_ci","tempRange_Jan","ThermalRegime","Tree.name","Scientific","HWI","Diet"
"Hume's Warbler",2,2813.65,2425.65,3067.05,1869,1653.74,1994.3825,917.300000000001,504.417500000001,1228.9675,2800,1900,17.531059683313,12.3816773969027,0.0218265820000198,0.0247513180043894,5.1493822864103,11.3418064068463,0.798565976639297,0.03394715456085,0.0391641458429694,10.543240430207,16.7324937066737,"Phylloscopus_humei","Phylloscopus humei",24.74809336,"invertebrates"
"Lemon-rumped Warbler",2,3611,3323.965,3796.90625,2889.6,2677.9975,2980.415,725.099999999999,454.595000000001,993.684999999999,3600,2900,14.7688242424242,8.89770909090909,0.0340276783944198,0.0216597034703794,5.87111515151515,5.26536360532605,-5.03074428132468,0.0317618622389557,0.0470441774403132,10.2961078866507,19.7995685237489,"Phylloscopus_chloronotus","Phylloscopus chloronotus",16.95657218,"invertebrates"
"Ashy-throated Warbler",2,3439.5,3271.48125,3518,2797.1,2731.5825,2809.5,646.849999999999,478.321249999999,738.51125,3400,2800,14.901333777926,9.59323107702568,0.0243632447136759,0.0264629273742117,5.3081027009003,5.90342787541326,-4.49949538889856,0.0329520440574153,0.0492310649162341,10.4029232643118,19.4008291668246,"Phylloscopus_maculipennis","Phylloscopus maculipennis",16.98375989,"invertebrates"
"Chestnut-headed Tesia",2,3146,3146,3204.9,2401.75,2145.135,2462,753.000000000001,685.74,1010.16,3100,2400,16.1871616932686,10.966932685635,0.0215582096824161,0.0244435401257766,5.22022900763359,8.24612959167586,-2.15782752640706,0.0328417697708198,0.0447840333778634,10.4039571180829,18.3449892196757,"Tesia_castaneocoronata","Cettia castaneocoronata",13.81636995,"invertebrates"
"Black-throated Tit",0,2999.8,2729,3220.3175,2962,2816.4,3218.2,0,-361.53,272.755000000001,3000,3000,16.6216885245902,11.4577213114754,0.0203139228414607,0.022702062730945,5.16396721311475,4.73665573770492,-5.52611475409836,0.0304802310246357,0.0462052605621169,10.2627704918033,22.1478032786886,"Aegithalos_concinnus","Aegithalos concinnus",17.63180272,"invertebrates"
"White-tailed Nuthatch",0,3015.5,2781.2,3217.5,2826.8,2733.2,2861.25,195.900000000001,-57.2900000000001,422.3725,3000,2800,16.6216885245902,11.4577213114754,0.0203139228414607,0.022702062730945,5.16396721311475,5.90342787541326,-4.49949538889856,0.0329520440574153,0.0492310649162341,10.4029232643118,21.1211839134888,"Sitta_himalayensis","Sitta himalayensis",20.4149484,"invertebrates"
"Chestnut-bellied Nuthatch",0,1963.6,1585.52,2281.8,2256.3,1818.9825,2342,-310.650000000002,-640.819999999998,191.370000000001,2000,2300,21.218573696422,16.2607766516058,0.0156123124354501,0.0165641419554537,4.95779704481622,8.85349194167306,-1.58595548733691,0.0356887095113754,0.0453355709108195,10.43944742901,22.8045291837589,"Sitta_castanea","Sitta cinnamoventris",22.47727329,"invertebrates"
"Common Hill Myna",0,1067,641.0525,1858.09,1630,833,1814.5,-473.850000000001,-1078.275,466.177499999999,1100,1600,25.7505495260338,20.8016073636489,0.0110781078585299,0.00819007947366856,4.94894216238495,13.3181259330816,2.63019232458066,0.0292256301139292,0.033420129195188,10.6879336085009,23.1203572014531,"Gracula_religiosa","Gracula religiosa",27.15617108,"fruit"
"Chestnut-tailed Starling",2,1443.25,1425,1515.95125,1279.35,848.9925,1425,182.675,24.2775000000009,619.3225,1400,1300,24.2181987867475,19.2667599937782,0.0117237563642757,0.00967725839125455,4.95143879296936,15.184315456485,4.26935187228721,0.0259893392993852,0.0310869175008258,10.9149635841977,19.9488469144603,"Sturnus_malabaricus","Sturnia malabarica",30.54295576,"omnivore"
"Common Myna",0,1734.625,1669.0925,1846.98375,1823.55,1784,1879.5,-81.5,-175.72875,30.53,1700,1800,22.6584098737084,17.7350937619594,0.0128699461135887,0.0122854367735506,4.92331611174895,12.0716592201462,1.46834890333063,0.031545239000129,0.0358209631590314,10.6033103168156,21.1900609703778,"Acridotheres_tristis","Acridotheres tristis",21.84696376,"omnivore"
"Jungle Myna",0,1425,1425,1476,1425,1425,1425,0,0,51,1400,1400,24.2181987867475,19.2667599937782,0.0117237563642757,0.00967725839125455,4.95143879296936,14.5616503344221,3.75029553585317,0.0269276097642542,0.0317009137275114,10.811354798569,20.4679032508943,"Acridotheres_fuscus","Acridotheres fuscus",24.7162719,"omnivore"
"Asian Pied Starling",0,336.3,252.5,414.87125,411.15,310.24375,463,-71.4999999999998,-209.65,69.6587500000004,300,400,30.1615667883671,25.2149471232532,0.0174572015245362,0.00583477521691029,4.94661966511394,21.0469412351425,9.68685063585737,0.0147044927726212,0.0168393086426932,11.3600905992852,20.4747161525097,"Sturnus_contra","Gracupica contra",22.54255993,"omnivore"
