"group.id","LOCALITY.ID","LATITUDE","LONGITUDE"
"G7641532","L17307502",34.2651232,74.9083192
"G7649220","L17293909",34.174122,74.917727
"G7686728","L8128825",34.2654059,74.9084676
"G7686729","L8128825",34.2654059,74.9084676
"G7694218","L11625378",33.1227565,74.3439621
"G7707016","L11045586",33.1235749,74.3437008
"G7714597","L17415296",32.7022717,74.7099947
"G7717654","L6082770",32.7290611,74.9100637
"G7723196","L8128825",34.2654059,74.9084676
"G7723197","L8128825",34.2654059,74.9084676
"G7735979","L11625378",33.1227565,74.3439621
"G7735980","L11775538",33.1230637,74.3436479
"G7740227","L17479715",34.2723488,74.8868682
"G7740337","L17480400",34.253055,75.1080265
"G7741046","L16879443",33.1222402,74.3423799
"G7747829","L17496500",34.256182,75.1060715
"G7748163","L8128825",34.2654059,74.9084676
"G7752265","L10982669",33.1218989,74.345443
"G7781309","L16236760",32.5799359,74.8738279
"G7784452","L7768352",34.0916184,74.8806381
"G7784453","L7768352",34.0916184,74.8806381
"G7787843","L8128825",34.2654059,74.9084676
"G7787844","L7768352",34.0916184,74.8806381
"G7788004","L6450721",32.7192383,74.8447433
"G7788166","L8128825",34.2654059,74.9084676
"G7788167","L8128825",34.2654059,74.9084676
"G7788978","L17572072",32.6227419,75.6034032
"G7797793","L17090497",33.0418251,74.6027859
"G7798172","L17555705",34.2835517,74.8421967
"G7798173","L17555705",34.2835517,74.8421967
"G7799481","L5569383",32.692464,74.8597142
"G7812187","L17555705",34.2835517,74.8421967
"G7812188","L17551837",34.0172468,74.7679818
"G7812829","L17622982",34.2691855,74.8871861
"G7812829","L8128825",34.2654059,74.9084676
"G7817365","L17630312",34.0927428,74.8809427
"G7817424","L17630495",34.0198298,74.7909977
"G7817637","L17630951",34.0950218,74.8832946
"G7821027","L8128825",34.2654059,74.9084676
"G7821291","L8128825",34.2654059,74.9084676
"G7824904","L17645657",34.1397762,74.9294517
"G7824905","L17645639",34.1303006,74.9393578
"G7830189","L17555705",34.2835517,74.8421967
