Tree.name,Species,Median_S_upper,Median_diff_upper,Species,Median_S_median,Median_diff_median,Species,Median_S_lower,Median_diff_lower,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Hypsipetes_mcclellandii,Mountain Bulbul,2214.4,-201.65,Mountain Bulbul,1594,-145,Mountain Bulbul,483.65,-379.55,1730.75,-0.091063042,-0.090966123,-0.784761708
Lanius_schach,Long-tailed Shrike,2656,658.025,Long-tailed Shrike,1425,73,Long-tailed Shrike,194,88.4,2462,0.247750377,0.05122807,0.455670103
Lanius_tephronotus,Gray-backed Shrike,3459.1,911.3,Gray-backed Shrike,2357,1000.5,Gray-backed Shrike,242,107.95,3217.1,0.26345003,0.424480272,0.44607438
Leiothrix_argentauris,Silver-eared Mesia,1913.2,-27.75,Silver-eared Mesia,1001,374,Silver-eared Mesia,451.025,290.725,1462.175,-0.014504495,0.373626374,0.644587329
Leiothrix_lutea,Red-billed Leiothrix,2744.6,64.45,Red-billed Leiothrix,2042,77.75,Red-billed Leiothrix,1371.9,57.025,1372.7,0.023482475,0.038075416,0.041566441
Leucosticte_nemoricola,Plain Mountain-Finch,4339,183.5,Plain Mountain-Finch,3444,-130,Plain Mountain-Finch,2415.4,-179.9,1923.6,0.04229085,-0.037746806,-0.074480417
Liocichla_phoenicea,Red-faced Liocichla,2044.8,-4.4,Red-faced Liocichla,1690.5,-48.5,Red-faced Liocichla,703.1,-147.4,1341.7,-0.0021518,-0.028689737,-0.20964301
Lonchura_punctulata,Scaly-breasted Munia,1788.2,249.625,Scaly-breasted Munia,783,190.5,Scaly-breasted Munia,96.45,7.75,1691.75,0.139595683,0.243295019,0.080352514
Lonchura_striata,White-rumped Munia,1569,-199.9,White-rumped Munia,792,-174,White-rumped Munia,166,-65.2,1403,-0.127405991,-0.21969697,-0.392771084
Lophophorus_impejanus,Himalayan Monal,4037.15,294.9,Himalayan Monal,3510,94,Himalayan Monal,2722,-6.8,1315.15,0.07304658,0.026780627,-0.002498163
Lophura_leucomelanos,Kalij Pheasant,3235.85,-33.05,Kalij Pheasant,2075,-64.75,Kalij Pheasant,684.25,-17.1,2551.6,-0.0102137,-0.031204819,-0.024990866
Macronous_gularis,Pin-striped Tit-Babbler,726.6,32.35,Pin-striped Tit-Babbler,317,102.25,Pin-striped Tit-Babbler,130,-11.6,596.6,0.044522433,0.322555205,-0.089230769
Macropygia_unchall,Barred Cuckoo-Dove,2685.925,220.825,Barred Cuckoo-Dove,1736,45,Barred Cuckoo-Dove,289.65,-2.65,2396.275,0.082215624,0.025921659,-0.009148973
Megalaima_asiatica,Blue-throated Barbet,1596.35,-104.4,Blue-throated Barbet,960,310,Blue-throated Barbet,86,-23.225,1510.35,-0.065399192,0.322916667,-0.27005814
Megalaima_franklinii,Golden-throated Barbet,2359.5,-27.8,Golden-throated Barbet,1666,-73,Golden-throated Barbet,383.6,-79.5,1975.9,-0.011782157,-0.043817527,-0.207247132
Megalaima_haemacephala,Coppersmith Barbet,1295,-7,Coppersmith Barbet,936,650.5,Coppersmith Barbet,98,14.7,1197,-0.005405405,0.694978632,0.15
Megalaima_lineata,Lineated Barbet,520.45,54.025,Lineated Barbet,185,10,Lineated Barbet,76,-6.5,444.45,0.1038044,0.054054054,-0.085526316
Megalaima_virens,Great Barbet,2540,93.55,Great Barbet,1425,-73,Great Barbet,436.175,128,2103.825,0.036830709,-0.05122807,0.293460194
Melanochlora_sultanea,Sultan Tit,1916.5,177.5,Sultan Tit,993,191.5,Sultan Tit,226.15,84.15,1690.35,0.092616749,0.19284995,0.372098165
Merops_orientalis,Green Bee-eater,566.1,197.2,Green Bee-eater,165.5,-21,Green Bee-eater,83.85,3.9,482.25,0.348348348,-0.126888218,0.046511628
Minla_cyanouroptera,Blue-winged Minla,2554.6,372.575,Blue-winged Minla,1764.5,300.5,Blue-winged Minla,714,427.9,1840.6,0.145844751,0.170303202,0.59929972
Minla_ignotincta,Red-tailed Minla,3116,526.625,Red-tailed Minla,2074,335,Red-tailed Minla,996.85,342.275,2119.15,0.169006739,0.161523626,0.343356573
Minla_strigula,Chestnut-tailed Minla,3390.2,666.45,Chestnut-tailed Minla,2677,453.75,Chestnut-tailed Minla,1739,205.35,1651.2,0.196581323,0.16949944,0.118085106
Monticola_rufiventris,Chestnut-bellied Rock-Thrush,3434,583.925,Chestnut-bellied Rock-Thrush,2501,931,Chestnut-bellied Rock-Thrush,1250.375,908.2,2183.625,0.170042225,0.3722511,0.726342097
Monticola_solitarius,Blue Rock-Thrush,2642.45,423.875,Blue Rock-Thrush,906,325.5,Blue Rock-Thrush,166,46.275,2476.45,0.160409847,0.359271523,0.27876506
Myophonus_caeruleus,Blue Whistling-Thrush,3269.1,192.775,Blue Whistling-Thrush,1974,210.75,Blue Whistling-Thrush,555.95,237.3,2713.15,0.058968829,0.106762918,0.426836946
Nectarinia_asiatica,Purple Sunbird,1252.6,-410.6,Purple Sunbird,981,731,Purple Sunbird,85.6,5.5,1167,-0.32779818,0.745158002,0.064252336
