"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff","elev_roundS","elev_roundW","maxTemp_June_mean","minTemp_June_mean","maxTemp_June_ci","minTemp_June_ci","tempRange_June","maxTemp_Jan_mean","minTemp_Jan_mean","maxTemp_Jan_ci","minTemp_Jan_ci","tempRange_Jan","ThermalRegime","Tree.name","Scientific","HWI","Diet"
"Common Babbler",0,272,272,272,272,270.75,272,0,0,1.25,300,300,38.5914356119032,27.2289492494639,0.00934415416116112,0.00963930096723773,11.3624863624393,20.2658092246341,6.54549490237388,0.010205420824288,0.00805836920284432,13.7203143222603,32.0459407095293,"Turdoides_caudata","Argya caudata",11.21091407,"omnivore"
"Puff-throated Babbler",1,354,285,383.5225,421,368.985,492.41,-69.95,-156.65125,-13.6975,400,400,37.5845152127864,26.1657904871943,0.0136710487453596,0.0136089274947692,11.4187247255921,18.7463075293665,5.15725014442519,0.0184769880609363,0.0124636720790396,13.5890573849413,32.4272650683612,"Pellorneum_ruficeps","Pellorneum ruficeps",8.626835437,"invertebrates"
"Streak-breasted Scimitar-Babbler",2,1945.1,1680,2173,1614.8,1574,1805.7,345.85,15.3375,599,1900,1600,24.2758222735141,13.6378678592037,0.0245302345975058,0.0274683253856939,10.6379544143104,7.44244503961611,-4.65066956812856,0.0574917750954054,0.045535121685832,12.0931146077447,28.9264918416427,"Pomatorhinus_ruficollis","Pomatorhinus ruficollis",10.00654519,"invertebrates"
"Rusty-cheeked Scimitar-Babbler",0,591,591,602,592.65,591,602,0,-11,11,600,600,34.9175192472198,23.660621613915,0.0278416027627093,0.0157774437863449,11.2568976333048,16.6673224978614,3.48064442543484,0.0220866208077492,0.0124960789734125,13.1866780724266,31.436874821785,"Pomatorhinus_erythrogenys","Erythrogenys erythrogenys",5.504791561,"invertebrates"
"Scaly-breasted Cupwing",0,1224.8,882.9,1415,1062.35,782.375,1183,218.2,-133.325,532.65,1200,1100,29.4866395262768,19.052396373057,0.0347984080946709,0.0210127020279514,10.4342431532198,13.1852037037037,0.488657407407407,0.0389425375550695,0.0179902706131124,12.6965462962963,28.9979821188694,"Pnoepyga_albiventer","Pnoepyga albiventer",6.452056788,"invertebrates"
"Gray-breasted Prinia",0,272,272,272,272,272,272,0,0,0,300,300,38.5914356119032,27.2289492494639,0.00934415416116112,0.00963930096723773,11.3624863624393,20.2658092246341,6.54549490237388,0.010205420824288,0.00805836920284432,13.7203143222603,32.0459407095293,"Prinia_hodgsonii","Prinia hodgsonii",10.71805726,"invertebrates"
"Ashy Prinia",0,272,272,272,272,263,272,0,0,9,300,300,38.5914356119032,27.2289492494639,0.00934415416116112,0.00963930096723773,11.3624863624393,20.2658092246341,6.54549490237388,0.010205420824288,0.00805836920284432,13.7203143222603,32.0459407095293,"Prinia_socialis","Prinia socialis",10.26808511,"invertebrates"
"Striated Prinia",0,922.15,861,1011,861,784.7425,957.6,57.75,-70.75625,176.46125,900,900,32.2180233038592,21.2051731261879,0.0350487650186013,0.0164268078164792,11.0128501776713,14.3619287662177,1.62382447731592,0.0300012781986552,0.0141672933514139,12.7381042889017,30.5941988265433,"Prinia_crinigera",NA,10.87885935,"invertebrates"
"Common Tailorbird",0,272,272,272,272,272,272,0,0,0,300,300,38.5914356119032,27.2289492494639,0.00934415416116112,0.00963930096723773,11.3624863624393,20.2658092246341,6.54549490237388,0.010205420824288,0.00805836920284432,13.7203143222603,32.0459407095293,"Orthotomus_sutorius","Orthotomus sutorius",10.61962388,"invertebrates"
"Red-vented Bulbul",0,272,272,272,272,272,272,0,0,0,300,300,38.5914356119032,27.2289492494639,0.00934415416116112,0.00963930096723773,11.3624863624393,20.2658092246341,6.54549490237388,0.010205420824288,0.00805836920284432,13.7203143222603,32.0459407095293,"Pycnonotus_cafer","Pycnonotus cafer",16.99361609,"omnivore"
