Tree.name,Species,Median_S_upper,Median_W_upper,Median_diff_upper,Species,Median_S_median,Median_W_median,Median_diff_median,Species,Median_S_lower,Median_W_lower,Median_diff_lower,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Phoenicurus_erythrogastrus,White-winged Redstart,5130.45,3666.25,1448.7,White-winged Redstart,3455.5,3237,216.5,White-winged Redstart,2703.4,2799.35,-90.85,2427.05,0.282372891,0.06265374,-0.03360583
Phoenicurus_frontalis,Blue-fronted Redstart,3353.5,2417,936.5,Blue-fronted Redstart,2173.5,2029,163,Blue-fronted Redstart,1383,1255,128.575,1970.5,0.279260474,0.074994249,0.092968185
Phylloscopus_affinis,Tickell's Leaf Warbler,4514,2104.4,2409.6,Tickell's Leaf Warbler,1990.5,1452,538.5,Tickell's Leaf Warbler,691.55,421.45,270.1,3822.45,0.533805937,0.270535041,0.390571904
Phylloscopus_chloronotus,Lemon-rumped Warbler,3105.55,2499,620.925,Lemon-rumped Warbler,1972,1573,399,Lemon-rumped Warbler,608.2,532.2,111.975,2497.35,0.199940429,0.202332657,0.184108846
Phylloscopus_humei,Hume's Warbler,2544.225,1971.9,590.775,Hume's Warbler,1419,602,817,Hume's Warbler,280,272,8,2264.225,0.232202341,0.575757576,0.028571429
Phylloscopus_maculipennis,Ashy-throated Warbler,3236,2510,726,Ashy-throated Warbler,2417,1952,475.25,Ashy-throated Warbler,1345.05,1191.7,166.775,1890.95,0.224351051,0.196628051,0.123991673
Phylloscopus_pulcher,Buff-barred Warbler,3236.5,2417,815.575,Buff-barred Warbler,2100,1936.5,178.75,Buff-barred Warbler,1342,975.5,371.55,1894.5,0.251992894,0.085119048,0.276862891
Phylloscopus_trochiloides,Greenish Warbler,2893,1900.8,1023.6,Greenish Warbler,861,591,272,Greenish Warbler,272,272,0,2621,0.353819564,0.315911731,0
Phylloscopus_xanthoschistos,Gray-hooded Warbler,2476.6,2417,61.2,Gray-hooded Warbler,1943,1419,524.5,Gray-hooded Warbler,896.475,404.8,483.775,1580.125,0.024711298,0.269943387,0.539641373
Pica_pica,Eurasian Magpie,4211,4199.3,6.5,Eurasian Magpie,3280,3263,16.75,Eurasian Magpie,2629,3077.95,-459.8,1582,0.001543576,0.005106707,-0.174895397
Picumnus_innominatus,Speckled Piculet,2386,2224,134.1,Speckled Piculet,1360,1357,1.5,Speckled Piculet,602,602,0,1784,0.05620285,0.001102941,0
Picus_canus,Gray-headed Woodpecker,2417,2417,0,Gray-headed Woodpecker,1542,1506,39.5,Gray-headed Woodpecker,457.575,558.3,-98,1959.425,0,0.025616083,-0.21417254
Picus_chlorolophus,Lesser Yellownape,2050,1914.325,125.525,Lesser Yellownape,1332,1280,47,Lesser Yellownape,386,403,-10.15,1664,0.061231707,0.035285285,-0.026295337
Picus_flavinucha,Greater Yellownape,2100,2034.2,81.425,Greater Yellownape,1365,1365,0,Greater Yellownape,386,430.45,-40.25,1714,0.03877381,0,-0.104274611
Picus_squamatus,Scaly-bellied Woodpecker,2861.5,2720.4,131.75,Scaly-bellied Woodpecker,2071.25,1913,146.5,Scaly-bellied Woodpecker,1246.9,1164,73,1614.6,0.046042286,0.070730235,0.058545192
Ploceus_philippinus,Baya Weaver,827,827,0,Baya Weaver,602,602,0,Baya Weaver,272,262.075,9.1,555,0,0,0.033455882
Pnoepyga_albiventer,Scaly-breasted Cupwing,3217.5,2548,670.6,Scaly-breasted Cupwing,1980.5,1862,145,Scaly-breasted Cupwing,1265,1064.2,199.6,1952.5,0.208422688,0.073213835,0.157786561
Pomatorhinus_erythrogenys,Rusty-cheeked Scimitar-Babbler,2417,2417,0,Rusty-cheeked Scimitar-Babbler,1419,1498,-64,Rusty-cheeked Scimitar-Babbler,591,602,-1.1,1826,0,-0.045102185,-0.001861252
Pomatorhinus_ruficollis,Streak-breasted Scimitar-Babbler,2417,2417,0,Streak-breasted Scimitar-Babbler,2417,2417,0,Streak-breasted Scimitar-Babbler,1945.7,1616,339.2,471.3,0,0,0.174333145
Prinia_crinigera,Striated Prinia,2337,2175.2,190.9,Striated Prinia,1752,1542,206,Striated Prinia,953.925,861,70.6,1383.075,0.081685922,0.117579909,0.074010011
Prinia_hodgsonii,Gray-breasted Prinia,1498,1556,-58,Gray-breasted Prinia,666,664,9.5,Gray-breasted Prinia,272,272,0,1226,-0.038718291,0.014264264,0
Prinia_inornata,Plain Prinia,1577.7,1199.75,377.25,Plain Prinia,522,434.5,91,Plain Prinia,272,263,9.1,1305.7,0.2391139,0.174329502,0.033455882
