"","Value","Std.Error","t.value","p.value","dataset","Variable","adjP"
"48",-0.885726908057104,28.3942241065692,-0.0311939112945222,0.975148523056664,"95.q1.sam30","relevel(Diet, ref = ""invertebrates"")seeds",0.990876725041449
"49",-57.1760022836357,56.9581678862989,-1.00382446285442,0.316774393085063,"95.q1.sam30","relevel(Diet, ref = ""invertebrates"")vertebrates",0.604751114071484
"50",4269.03988853276,84.3333296915539,50.6210285322139,1.92338609071511e-91,"95.q1.sam60","(Intercept)",1.00977769762543e-90
"51",-130.48281430016,2.43894231964059,-53.4997540734741,1.27965157596483e-94,"95.q1.sam60","ThermalRegime",7.67790945578898e-94
"52",-0.563644869861674,1.20756874591551,-0.466760067920067,0.641402311858952,"95.q1.sam60","HWI",0.797356495775487
"53",-5.02905728573313,37.7030201514791,-0.133386059406592,0.894080987629017,"95.q1.sam60","relevel(Diet, ref = ""invertebrates"")fruit",0.954696647807255
"54",14.0135714123484,23.5240519312986,0.595712484110928,0.552336057276387,"95.q1.sam60","relevel(Diet, ref = ""invertebrates"")omnivore",0.732572033861313
"55",6.53730862374589,35.4543582046457,0.184386601670011,0.85397891734401,"95.q1.sam60","relevel(Diet, ref = ""invertebrates"")seeds",0.935663857263872
"56",-45.6526598694755,69.0530731624447,-0.661124230663556,0.509626976745335,"95.q1.sam60","relevel(Diet, ref = ""invertebrates"")vertebrates",0.729693171249002
"57",4228.75963143125,65.5370517549483,64.5247156866797,4.5967508621583e-139,"95.q2.sam30","(Intercept)",1.44797652157986e-137
"58",-129.324532942186,1.88528019178861,-68.5969828280502,2.54320506579125e-144,"95.q2.sam30","ThermalRegime",1.06814612763232e-142
"59",-0.664257623813617,1.0268268271425,-0.646903261830565,0.518411232130642,"95.q2.sam30","HWI",0.729836307562946
"60",-2.5404782221545,32.192341818015,-0.0789156078335636,0.937175983202038,"95.q2.sam30","relevel(Diet, ref = ""invertebrates"")fruit",0.975902263499643
"61",12.5828635678853,20.4255777127202,0.616034647580578,0.538548458313144,"95.q2.sam30","relevel(Diet, ref = ""invertebrates"")omnivore",0.729836307562946
