Tree.name,GENUS,SPECIFICC,Species,Median_S_lower,Median_W_lower,Median_diff_lower,Median_S_median,Median_W_median,Median_diff_median,Median_S_upper,Median_W_upper,Median_diff_upper,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Passer_domesticus,Passer,domesticus,House Sparrow,272,272,0,1309,1011,290,3540,2336.05,1205.5,3268,0.340536723,0.221543163,0
Sturnus_malabaricus,Sturnus,malabaricus,Chestnut-tailed Starling,354,281.25,72.75,638,638.5,-0.5,1377.675,907.6,470.075,1023.675,0.341208921,-0.000783699,0.205508475
Eudynamys_scolopaceus,Eudynamys,scolopaceus,Asian Koel,272,272,0,616,409,207,1911.4,1256,657,1639.4,0.343727111,0.336038961,0
Streptopelia_decaocto,Streptopelia,decaocto,Eurasian Collared-Dove,272,262,10,664,422,233.5,2417,1581.7,835.3,2145,0.345593711,0.351656627,0.036764706
Prunella_collaris,Prunella,collaris,Alpine Accentor,1847.8,1397.3,448.8,2965,2624,399,5267,3365.15,1861.55,3419.2,0.353436491,0.134569983,0.242883429
Sitta_frontalis,Sitta,frontalis,Velvet-fronted Nuthatch,354,363,-10.8,601,602,-1,2103.1,1332,768,1749.1,0.365175218,-0.001663894,-0.030508475
Phylloscopus_trochiloides,Phylloscopus,trochiloides,Greenish Warbler,272,272,0,851,592,257.5,2783,1767.5,1017.475,2511,0.365603665,0.302585194,0
Saxicola_torquatus,Saxicola,torquatus,Siberian Stonechat,369.8,262,110.275,1681,615.5,1056,3240,2049,1203.65,2870.2,0.371496914,0.628197501,0.298201731
Ficedula_westermanni,Ficedula,westermanni,Little Pied Flycatcher,592.4,352,240.4,1526.5,441,1085.5,2256.5,1412.5,844,1664.1,0.374030578,0.711103832,0.405806887
Tarsiger_chrysaeus,Tarsiger,chrysaeus,Golden Bush-Robin,1248,932,316,2071,1601,496.75,3534.4,2173,1361.4,2286.4,0.385185604,0.239859971,0.253205128
Stigmatopelia_chinensis,Stigmatopelia,chinensis,Spotted Dove,272,272,0,653,602,51,2153.775,1309,840.8,1881.775,0.390384325,0.078101072,0
Lanius_schach,Lanius,schach,Long-tailed Shrike,368,272,96,1582,602,978,3243.4,1958.25,1285.75,2875.4,0.396420423,0.618204804,0.260869565
Seicercus_whistleri,Seicercus,whistleri,Whistler's Warbler,457.275,392.6,67.65,1260.5,602,658.5,3160,1902.3,1260.45,2702.725,0.398876582,0.522411741,0.147941611
Emberiza_cia,Emberiza,cia,Rock Bunting,1366.7,761,599.775,2417,1935,482,4259,2549.2,1719.1,2892.3,0.403639352,0.19942077,0.438849052
Anthus_rufulus,Anthus,rufulus,Paddyfield Pipit,244.65,238.4,4.825,387,348,38,1275.65,767.6,517.075,1031,0.405342374,0.098191214,0.019722052
Pericrocotus_cinnamomeus,Pericrocotus,cinnamomeus,Small Minivet,272,262,7,486,444.5,43,1423,831.5,587.625,1151,0.412947997,0.088477366,0.025735294
Anthus_hodgsoni,Anthus,hodgsoni,Olive-backed Pipit,272,272,0,1586,1061,546.5,3801.5,2173,1628.5,3529.5,0.428383533,0.344577554,0
Ficedula_strophiata,Ficedula,strophiata,Rufous-gorgeted Flycatcher,602,413.8,188.2,2417,678,1648.75,3174.7,1764.2,1403.8,2572.7,0.442183513,0.68214729,0.312624585
Hirundo_rupestris,Hirundo,rupestris,Eurasian Crag-Martin,1864,405.7,1459,3291,1640,1655,4405,2382,2024,2541,0.459477866,0.502886661,0.782725322
Dendrocopos_nanus,Dendrocopos,nanus,Brown-capped Woodpecker,286.8,270.65,21.725,438,438,5,1754.1,954,807.7,1467.3,0.460464056,0.011415525,0.075749651
Culicicapa_ceylonensis,Culicicapa,ceylonensis,Gray-headed Canary-Flycatcher,664,328.4,329.5,2075.5,602,1473.5,2499,1332,1167,1835,0.466986795,0.70994941,0.49623494
Upupa_epops,Upupa,epops,Eurasian Hoopoe,294.625,262,32.125,1595,421,1174,3540,1855.55,1681.85,3245.375,0.47509887,0.736050157,0.109036911
Dicrurus_macrocercus,Dicrurus,macrocercus,Black Drongo,272,262,10,584,409,175,1653.925,861,795.55,1381.925,0.481007301,0.299657534,0.036764706
Ficedula_tricolor,Ficedula,tricolor,Slaty-blue Flycatcher,581.7,372,209.875,1667,764,906.25,3175.2,1640,1538.925,2593.5,0.484670257,0.543641272,0.360795943
Lanius_tephronotus,Lanius,tephronotus,Gray-backed Shrike,583.7,392.3,194.75,2035,1601,434,4317,2170.3,2144,3733.3,0.496641186,0.213267813,0.333647422
Zoothera_cinerea,Zoothera,cinerea,Orange-headed Thrush,386,517.6,-134.3,602,602,0,1365,666,699,979,0.512087912,0,-0.347927461
Phylloscopus_affinis,Phylloscopus,affinis,Tickell's Leaf Warbler,619.15,416.05,213.5,2054,1516,533.5,4502.8,2121.3,2381.2,3883.65,0.528826508,0.259737098,0.344827586
Luscinia_pectoralis,Luscinia,pectoralis,Himalayan Rubythroat,676.9,388.75,284,1633.5,868.75,732,3987.4,1601,2345.225,3310.5,0.588158951,0.448117539,0.419559758
Cyornis_tickelliae,Cyornis,tickelliae,Tickell's Blue Flycatcher,265,245,4.4,678,453.5,236.5,2468,947.4,1511,2203,0.612236629,0.348820059,0.016603774
Dicrurus_remifer,Dicrurus,remifer,Lesser Racket-tailed Drongo,354,352.35,5.85,673.5,477,195.5,2070.75,746,1312.95,1716.75,0.634045636,0.290274684,0.016525424
Ficedula_albicilla,Ficedula,albicilla,Taiga Flycatcher,297.8,307.75,-11.45,441,602,-161,2303.2,861,1461.75,2005.4,0.634660472,-0.365079365,-0.038448623
