"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Black Redstart",2,3047.6,2989.6825,3080.75125,272,271.795,272,2775.8,2717.6825,2808.80125
"Common Myna",0,272,272,272,272,272,272,0,0,0
"Crimson Sunbird",2,326,326,326,321,313,321,5,5,13
"Gray Bushchat",2,1264,1255,1309,326,321,347.65625,938,915.98,987.60375
"Gray-hooded Warbler",2,1162.775,1125.3,1171,438,421.29875,441,724,685.3975,742.2575
"Himalayan Bulbul",2,519.925,458.9475,558.25375,385,372,388,136,75.5487500000003,173.25875
"House Sparrow",0,272,272,272,272,272,272,0,0,0
"Large-billed Crow",0,326,314,338.7025,315.45,299.9475,326,9.89999999999998,-7.90249999999998,29.5175
"Little Cormorant",1,245,244,245,262,262,263,-17,-18.4025,-17
"Red-vented Bulbul",0,272,272,272,272,272,272,0,0,0
"Rufous Treepie",0,272,271,272,272,272,272,0,-1,0
"Russet Sparrow",2,1074.3,1035,1121.2,968.65,932,1025,99.9,24.9875,162
"Yellow-billed Blue-Magpie",2,1157,1143,1218.3025,989,932,1046.63,180.7,108.4,251.6275
"Alexandrine Parakeet",0,272,272,272,272,272,272,0,0,0
"Black Kite",0,272,272,272,272,272,272,0,0,0
"Blue Whistling-Thrush",2,1089,1056,1134,388,382.395,388,701,668,746
"Eurasian Jackdaw",0,1579,1575.8,1580,1579,1578.59875,1580.3,0,-3.45125000000004,1
"European Goldfinch",2,1582,1582,1582,861,647.19375,919.05,721,662.95,934.80625
"European Starling",2,1579,1573.595,1579.80125,245,241.84125,249.8,1334,1326,1337.15
"House Crow",0,264,262,271.95125,262,262,266,2,-2,9
"Rose-ringed Parakeet",0,272,272,272,272,272,272,0,0,0
"Streaked Laughingthrush",2,1248,1235.97875,1268.05375,1134,1102.585,1183,114,65,149.15375
"Tickell's Thrush",2,1332,1332,1332,359.3,326,591,972.7,741,1006
"Bar-tailed Treecreeper",2,1332,1332,1332,602,591,602,730,730,741
"Coal Tit",0,1526.8,1456.60875,1587.85125,1437.7,1394.2,1539.6,76.5000000000001,-41.205,180.175
"Plain Mountain Finch",2,2068.2,2011.09125,2470.575,1576.75,1514,1598.7575,504.25,429.59875,903.1075
"Rock Bunting",2,1592.15,1583,1705.085,1043.75,932,1094,559.75,491.14625,682
"Yellow-breasted Greenfinch",2,1369,1369,1448,310.75,272,517.485,1070,866.89,1156.47
"Common Raven",2,1695.1,1593,2278.86,358.1,314.2,1560.5,1291,227.285,1864.0775
"Egyptian Vulture",0,272,272,272,259.1,245,272,12.9,0,27
"Plumbeous Redstart",2,1190.25,1134,1254,363,358.8,368,826.725,768,891
"Black Bulbul",2,1035,987.385,1064,388.55,372,422.1,636.05,592.3675,677.005
"Cinereous Tit",2,409,409,420.45875,380.05,368,388,30.3,21,41
"Green-backed Tit",2,1365,1365,1369,1321.65,1297.725,1332,45.175,33,69.8599999999999
"Oriental Turtle-Dove",2,666,618.55,827,308.5,272.8,388,365.1,278,523.83125
"Ultramarine Flycatcher",2,1332,1332,1332,272,272,272,1060,1060,1060
"Common Rosefinch",2,1054.2,827,1270.51875,429.925,381.2,595.4525,618.25,329.525,849.815
"Great Barbet",2,1093,1052.37375,1141.5,797.85,761,885.87375,293.925,203.39625,365
"Ashy Drongo",2,924.85,869.7925,1011,272,272,272,652.85,597.7925,739
"Eurasian Sparrowhawk",2,1428,1419,1580,498.275,410.95,624.5225,960.475,811.445,1111.47375
"Gray Wagtail",2,665.05,664,957.87625,272,262.04875,272,399.45,392,689.0525
"Gray-winged Blackbird",2,1332,1332,1365,439.125,386.94125,524.22,901.25,818,960
"Himalayan Griffon",2,1271,1240.16,1331.2075,341.8,302.19,380.40875,931.95,880.7825,1005.105
"White Wagtail",2,1580,1325.395,1580,265,262,271.5525,1313.525,1061.3975,1318
"White-capped Redstart",2,1220.7,1187.73125,1306.6,372,368,385,848.6,810.7475,933.47
"Spotted Dove",0,272,272,272,272,272,272,0,0,0
"Black-headed Jay",0,1332,1332,1340.55,1262,1181.45,1332,70.5,0,152.0125
"Eurasian Kestrel",2,1281,1192.55,1369,375.8,355.79,411.8075,905,818.01875,993.415
"Gray-headed Canary-Flycatcher",2,1332,1332,1332,326,321,352.4025,1006,979.5975,1011
"Indian White-eye",0,272,272,272,272,272,272,0,0,0
"Mistle Thrush",0,1581,1580.45,1870.35,1626.8,1585.81,1761.565,-28.3000000000002,-171.8725,175.3125
"Rock Pigeon",0,272,272,272,272,266.1475,272,0,0,5.60125000000002
"Scaly-bellied Woodpecker",0,1237,1235.9,1254.5,1171.3,1090.4,1255,62.05,-18,148.75
"Spotted Forktail",2,1332,1308.05,1337.2325,906.6,816.495,1014.5025,420.9,304.73,510.85375
"Black Drongo",2,272,272,272,262,255.39625,262.95125,10,9,16.60375
"Common Kingfisher",0,272,263.79125,327.52625,295,262.5,321.95125,-19.775,-51.605,26.66375
"Eurasian Coot",2,1343.45,422,1580,262,260.1975,262,1081.45,160,1318
"Eurasian Moorhen",2,348.25,316,403,262,262,263,85.8000000000001,53,141
"Gray Heron",2,403,290.7,411.5975,262,262,262,141,28.7,149.5975
"Little Grebe",0,318.35,262.34875,403,313.4,283.9,340.205,7.05000000000001,-66,92.83
"Mallard",2,1579,1573.9,1579.85,331.1,318.99375,403,1247.15,1176,1258.81125
"White-throated Kingfisher",0,271,262,272,262,255.25,262,9.32500000000002,0,15.80125
"Black-throated Tit",2,1332,1332,1346,1255,1248,1303.45,77.1750000000001,38,98
"Variegated Laughingthrush",1,1382.75,1369,1464.9,1534,1498.4,1556.2225,-144.5,-174.3675,-55.7
"Eurasian Jay",2,1730.65,1618.05,1786.4,1542,1523,1574.00125,180.275,65.24625,243.27875
"Gray-headed Woodpecker",0,591,552.195,602,591,581.99375,602,0,-39.6049999999999,12.1512499999999
"Himalayan Woodpecker",0,1531.2,1475.75,1542,1542,1433.74375,1542,-3.75,-64.45,97.6137500000001
"Asian Barred Owlet",0,443,440.7,599.05875,442.8,423.3825,472.69375,2,-29.105,146.75375
"Crested Kingfisher",0,365.75,335.7,373.86,336.5,314.5975,363,26,-17.59875,53
"Golden Eagle",2,2290.2,2055.8,2531.3,1851.4,1585.2,2048.8,444.2,113.35125,835.36375
"Intermediate Egret",0,241.4,237.5,261.92,262,253.9,262.92,-20.45,-24.55,0.479999999999945
"Jungle Babbler",0,272,272,272,272,272,272,0,0,0
"Jungle Myna",2,450.175,414.8275,584,269.625,245,303.5125,185.525,136.03875,312.055
"Oriental Magpie-Robin",0,279,272,285.80625,272,272,272,7,0,13.80625
"Red-wattled Lapwing",2,272,266.7475,272,262,262,262.8,10,4.7475,10
"Himalayan Bluetail",2,1919.95,1347.15,2025,1181.55,1109.6,1254,742.775,141.88125,878.025
