species,LONGITUDE,LATITUDE
species,75.4872584,33.7501426
species,78.2958738,32.6076429
species,76.240962,33.310368
species,77.2115203,31.1568577
species,78.1019032,29.6365242
species,76.3259406,32.2435423
species,77.5818591,32.9080851
species,77.5163549,33.8216305
species,78.7432461,29.7334644
species,76.374425,34.0414928
species,95.1974101,27.0315801
species,78.1364822,31.3251201
species,78.1889348,30.2069868
species,79.2168294,30.6353576
species,77.8824234,31.9995237
species,75.336771,33.0725556
species,78.1325126,30.3444356
species,79.2754837,29.6112697
species,78.865571,30.1710368
species,79.4674612,29.1550687
species,80.0539356,29.5794188
species,80.5423564,29.8468409
species,97.0207456,28.3047917
species,95.2057959,28.1833283
species,89.6745524,26.5500099
species,79.4175683,29.7295572
species,77.3295225,31.7860338
species,92.4216086,27.2640188
species,74.8505868,32.6702747
species,76.0973841,32.046288
species,77.5849149,34.164826
species,76.5904527,34.5602815
species,78.5632692,30.63619
species,77.2661161,33.5981599
species,78.9581458,33.2163886
species,77.9338814,31.5524709
species,78.6084759,33.1965131
species,79.8932389,29.0576208
species,74.7080777,32.9766405
species,78.4750493,29.7495917
species,76.1252023,32.7336411
species,88.411113,26.7343042
species,76.7933543,31.9921456
species,77.1603691,31.3372688
species,79.8905132,30.685813
species,78.1410993,34.1821277
species,77.6252727,34.6319357
species,80.2652427,30.3002364
species,77.6272721,31.4380374
species,78.1081964,31.5161618
species,77.48678,30.42786
species,78.5645949,32.1332234
species,76.7950707,32.8600213
species,77.7437692,30.6292907
species,77.4939591,31.9975416
species,91.8920517,27.7210683
species,78.1710553,34.0352669
species,78.7671768,33.6431888
species,95.05901,28.57814
species,95.44956,28.10712
species,92.41502,27.00586
species,93.95007,27.53241
species,95.76791,28.20573
species,96.53296,28.21169
species,96.33592,27.69928
species,96.49247,28.06489
species,78.2180778,32.0625889
species,78.07838,31.97757
species,78.5755927,30.0985324
species,76.9907381,31.260851
species,79.5936274,30.7013446
species,79.5664566,30.5540917
species,77.5191188,30.8070754
species,77.3106529,32.0094338
species,77.7288495,33.3744217
species,78.1117952,33.2724312
species,77.1025225,31.7521939
species,78.2763761,31.5331752
species,76.4663391,32.9130482
species,76.4451692,33.1456104
species,75.443076,32.9293428
species,79.1951394,32.8800031
species,77.202873,30.702265
species,78.0025907,34.0999912
species,76.6692678,32.7212324
species,77.9066669,30.6438614
species,76.6073711,34.2321089
species,92.099848,27.6606271
species,92.3369538,27.7615871
species,78.198451,30.5474253
species,94.7936952,28.1748478
species,77.766953,31.018016
species,76.0783,32.228993
species,89.070972,26.731237
species,76.8869752,31.5322047
species,77.7192148,30.3696275
species,78.8347728,30.3850233
species,77.0766883,31.6150003
species,76.9336759,31.7136995
species,77.2907214,31.0197844
species,94.5676239,28.5291235
species,94.4059094,28.5119723
species,94.2303046,28.5461095
species,94.075091,28.6087873
species,76.539097,31.290922
species,88.86952,27.0895516
species,76.4676106,32.7498009
species,77.5344426,31.2274195
species,88.2781727,26.8045681
species,76.5173904,31.6904626
species,78.3810308,32.0955501
species,77.6130099,32.3184645
species,77.6345286,33.0804891
species,76.5121727,31.8383958
species,76.8664234,32.635354
species,77.4236299,31.095705
species,77.05292,31.0782098
species,76.9499927,31.9437762
species,79.0952191,29.9982876
species,78.4435383,31.6679051
species,75.2319183,33.2417933
species,74.9040933,33.7691067
species,79.7163697,30.4984746
species,79.784371,29.833781
species,77.7884743,33.1296909
species,78.9537468,29.639079
species,74.9244055,33.9929603
species,74.4443216,33.4133765
species,75.73069,33.016628
species,78.3485068,30.7085649
species,79.5590367,29.7905833
species,88.5847762,26.5041319
species,76.1294178,32.548808
species,74.3052967,33.2880292
species,79.625712,29.6327023
species,88.2043186,26.6866293
species,74.2480117,33.421102
species,77.5092866,34.8343778
species,77.6806298,34.0173717
species,79.0799731,30.9268454
species,74.1179615,34.4993269
species,80.2878607,29.5050908
species,91.6913458,27.5262513
species,76.7741615,32.1275733
species,75.5099667,33.5809283
species,75.294195,33.5861533
species,88.3708911,26.5866629
species,74.0362135,33.7401412
species,74.2848698,34.4070147
species,76.2876582,32.720346
species,74.7605567,33.518115
species,89.5238315,26.2182868
species,76.9522236,32.7699555
species,76.8531539,34.4630531
species,92.1485741,27.812011
species,78.4873604,33.3167925
species,77.151385,31.8938755
species,75.9603135,32.1198483
species,76.6817584,33.575027
species,76.8973952,33.4317491
species,80.7602784,30.308278
species,76.394608,34.380628
species,76.3655772,33.4002626
species,77.2312759,34.1211894
species,78.0796422,33.6214471
species,92.9198244,26.9809649
species,76.120303,34.593357
species,74.5176026,34.3767736
species,93.4891209,27.0459927
species,77.96318,33.7289501
species,79.0132553,30.611684
species,89.2054177,26.3577535
species,76.068425,34.452955
species,76.9862394,34.3006697
species,77.6309905,30.5101018
species,77.2080917,34.284105
species,89.4479846,26.3368186
species,88.148675,27.4998305
species,78.2823323,33.9167242
species,75.847988,32.282899
species,78.248621,29.7363625
species,78.0203306,30.0355988
species,88.2673022,27.0414029
species,79.4144383,30.0955767
species,76.7037776,31.0404325
species,88.4044933,26.9118911
species,76.5778828,32.4495203
species,74.9132653,34.1568174
species,88.5264492,27.2144083
species,74.9130379,33.3920023
species,76.8014975,30.9097702
species,89.5796393,26.7561938
species,77.5511713,34.4502246
species,95.5629364,27.9760918
species,88.5897367,26.7633008
species,74.1430921,33.6018802
species,93.2333654,27.1745483
species,96.9305561,27.8967161
species,75.3125352,32.8041545
species,88.5817226,26.9359162
species,79.1620108,29.7539775
species,75.2121438,32.5134093
species,77.8584667,30.45152
species,93.072069,27.033864
species,79.1924378,29.3677619
species,76.7110447,34.3938625
species,78.7418258,31.0394208
species,92.7904573,27.0839479
species,92.2445164,27.264777
species,77.1323254,32.4687603
species,78.9834417,30.2850025
species,94.6990788,27.988317
species,77.3232458,30.8216702
species,77.2177509,31.5182828
species,77.25642,33.983222
species,89.2057141,26.5146707
